1000;Nombre 1000;Apellido 1000;50;14;9;Direccion 1000;997721000;email1000@cursophp2018.com
1001;Nombre 1001;Apellido 1001;48;2;0;Direccion 1001;997721001;email1001@cursophp2018.com
1002;Nombre 1002;Apellido 1002;38;18;2;Direccion 1002;997721002;email1002@cursophp2018.com
1003;Nombre 1003;Apellido 1003;36;1;15;Direccion 1003;997721003;email1003@cursophp2018.com
1004;Nombre 1004;Apellido 1004;45;18;10;Direccion 1004;997721004;email1004@cursophp2018.com
1005;Nombre 1005;Apellido 1005;46;22;4;Direccion 1005;997721005;email1005@cursophp2018.com
1006;Nombre 1006;Apellido 1006;29;15;9;Direccion 1006;997721006;email1006@cursophp2018.com
1007;Nombre 1007;Apellido 1007;41;10;13;Direccion 1007;997721007;email1007@cursophp2018.com
1008;Nombre 1008;Apellido 1008;37;30;4;Direccion 1008;997721008;email1008@cursophp2018.com
1009;Nombre 1009;Apellido 1009;34;15;10;Direccion 1009;997721009;email1009@cursophp2018.com
1010;Nombre 1010;Apellido 1010;32;15;14;Direccion 1010;997721010;email1010@cursophp2018.com
1011;Nombre 1011;Apellido 1011;33;19;15;Direccion 1011;997721011;email1011@cursophp2018.com
1012;Nombre 1012;Apellido 1012;31;20;14;Direccion 1012;997721012;email1012@cursophp2018.com
1013;Nombre 1013;Apellido 1013;39;2;10;Direccion 1013;997721013;email1013@cursophp2018.com
1014;Nombre 1014;Apellido 1014;46;12;3;Direccion 1014;997721014;email1014@cursophp2018.com
1015;Nombre 1015;Apellido 1015;36;11;8;Direccion 1015;997721015;email1015@cursophp2018.com
1016;Nombre 1016;Apellido 1016;42;6;7;Direccion 1016;997721016;email1016@cursophp2018.com
1017;Nombre 1017;Apellido 1017;35;18;6;Direccion 1017;997721017;email1017@cursophp2018.com
1018;Nombre 1018;Apellido 1018;34;13;3;Direccion 1018;997721018;email1018@cursophp2018.com
1019;Nombre 1019;Apellido 1019;39;14;6;Direccion 1019;997721019;email1019@cursophp2018.com
1020;Nombre 1020;Apellido 1020;49;18;5;Direccion 1020;997721020;email1020@cursophp2018.com
1021;Nombre 1021;Apellido 1021;49;22;4;Direccion 1021;997721021;email1021@cursophp2018.com
1022;Nombre 1022;Apellido 1022;40;13;0;Direccion 1022;997721022;email1022@cursophp2018.com
1023;Nombre 1023;Apellido 1023;44;9;12;Direccion 1023;997721023;email1023@cursophp2018.com
1024;Nombre 1024;Apellido 1024;47;11;6;Direccion 1024;997721024;email1024@cursophp2018.com
1025;Nombre 1025;Apellido 1025;33;19;7;Direccion 1025;997721025;email1025@cursophp2018.com
1026;Nombre 1026;Apellido 1026;50;20;5;Direccion 1026;997721026;email1026@cursophp2018.com
1027;Nombre 1027;Apellido 1027;39;24;7;Direccion 1027;997721027;email1027@cursophp2018.com
1028;Nombre 1028;Apellido 1028;38;18;1;Direccion 1028;997721028;email1028@cursophp2018.com
1029;Nombre 1029;Apellido 1029;37;29;5;Direccion 1029;997721029;email1029@cursophp2018.com
1029;Nombre 1029;Apellido 1029;37;29;5;Direccion 1029;997721029;email1029@cursophp2018.com
1030;Nombre 1030;Apellido 1030;29;7;2;Direccion 1030;997721030;email1029@cursophp2018.com
